Sujeto;Texto
S1NH;Juana tiene el departamento ubicado en Palermo Se levanta por la mañana desayuna baja a tomar el subte en la linea D va hacia la oficina en la oficina se toma un café a las 8 de la mañana responde los correos que tenía luego tiene una conferencia sobre nuevos productos de toallitas femeninas Por las tardes sale a correr en el barrio hace siempre el mismo recorrido Luego tiene una cita con una pareja en Tinder y por la noche a las doce de la noche se acuesta le lleva media hora poder dormir
S1NH;Juana vive en palermo En la imagen veo un departamento  una habitación se levanta a la mañana a desayunar la imagen es de una cocina Luego va hacia el subte de la Linea D a tomar el subte hacia el trabajo La imagen de la estación de subte Luego en el trabajo se toma un café con medialunas La imagen es de un escritorio con un cafe con medialunas y una computadora A partir de las 8 empieza a contestar los mails atrasados Luego tiene una reunión por una conferencia sobre nuevos productos de toallitas femeninas La imagen es de un grupo de personas reunidas Por la tarde sale a correr en su barrio La imagen es de una chica corriendo Por la noche va a un bar a una cita con alguien por tinder La imagen de un bar En la noche se acuesta a dormir a las doce imagen de una chica acostada Le toma media hora dormirse
S1NH;Luego de una noche de sueño Federico se levanta a las 7 y 30 de la mañana Luego abre su armario y busca que camisa ponerse Despues se dirige al baño a higienizarse Se pone gel en el pelo Después se dirige hacia la puerta Va hasta la estación de Caballito Se dirige hacia el trabajo en el trabajo se dirige hacia sus compañeros y se pone a atender los llamados Después de una jornada de trabajo va hacia la casa va en subte Limpia el patio luego de limpiar el patio juega a la play la noche anterior habia descargado dos juegos uno de carrera y uno de aventuras Los quiere probar Mientras juega piensa que cocinar para la noche Luego se aburre de jugar  se sienta en la ventana a tomar un poco de aire fresco tomando un té verde y leyendo un libro
S1NH;Se levanta a la mañana en su departamento ubicado en Caballito Luego va al baño a higienizarse se pone gel en el pelo Desayuna va al trabajo en tren en once Al salir del trabajo va hacia la casa en subte Luego limpia la casa y se pone a jugar a la play a los juegos que se descargó la noche anterior uno de aventuras Mientras juega piensa que va a cocinar a la noche después se aburre a jugar y se pone a leer un libro frente a la ventana tomando un té
S2NH;Luego de una noche tranquila de sueño Juana se levanta 730 en su casa tranquila de Palermo Toma un café con dos tostadas y se va a trabajar Toma el subte la linea D hacia el laburo Llega al laburo y en su oficina y se acuerda que tiene que hacer llamados al proveedor y al diseñador gráfico Luego de eso tiene una reunión donde hablan sobre toallitas intimas LadySoft A las 8: 30 toma un café y contesta correos Luego de eso se va a comprar compra verduras y lacteos Llega a su casa se cambia la ropa de oficina por otra deportiva y sale a correr Después de eso se sienta a tomar algo y espera a los invitados Llega a su casa se baña y se vuelve a acostar a dormir
S2NH;Una chica se levanto a las 7 en su casa vivia en palermo Tomó un café con dos medialunas se fue al trabajo tomo el subte linea D llegó al trabajo contestó un email de los proveedores tuvo una reunión sobre toallitas después se fue a la casa se cambió salió a correr se juntó con amigos y volvió a la casa
S2NH;Luego de una noche tranquila Federico se levanta a las 7 AM en su casa de Caballito Va al armario se pone a elegir la ropa tiene una camisa azul a cuadros y una negra Elige la ultima Va al baño se higieniza se peina se lava los dientes A las 8 va a la cocina pone el agua para el mate y se come dos tostadas Sale para la estacion Caballito Camina 5 cuadras es una tarde soleada pero húmeda Al llegar a la estación camina hasta el final del andén y a los 15 minutos viene el tren Al llegar a la oficina saluda a sus compañeros prende su computadora Luego se va y se pone a limpiar el patio de su casa Descansa un poco se pone a jugar a la PlayStation 4 que el día anterior descargó dos juegos uno de carrera y uno de aventura Los juegos lo aburren así que se pone frente a una ventana a tomar aire fresco se prepara un té verde y se pone a leer un libro
S2NH;Fernando se despertó a las 7 en su casa de caballito Va al armario a elegir la ropa y tiene dos camisas Una a cuadros azul y una negra Elige la última Va al baño se higieniza luego a las 8 pone la pava para tomar unos mates con dos tostadas Sale a la calle hacia la estación Caballito Al llegar a la estación camina 15 minutos Camina hacia el último andén y a los 15 minutos viene el tren Llega al trabajo prende su computadora Después llega a su casa limpia su patio Se pone a jugar a la play 4 se aburre se pone a leer un libro tomando un té verde
S3H;Juana vive en el barrio de Palermo se levanta desayuna dos tostadas y después se va a trabajar Toma la linea D vive en la calle Charcas y toma la linea D en Carranza para ir a la oficina Responde unos mails que tenía atrasados y después tiene una nueva reunión por unos nuevos productos de toallitas femeninas LadySoft Cuando termina la jornada laboral va al supermercado compra unos productos lacteos unas verduras y se va a la casa Se prepara para hacer su entrenamiento semanal toma una botella de agua y se va a correr Después se va a un bar en el centro que se va a encontrar con alguien que conoció por Tinder
S3H;Juana es una chica que se levanta muy temprano se alista para ir a trabajar vive en la calle Charcas en Palermo a eso de las 7:30 se va a tomar el subte la línea D hasta Carranza en Belgrano que trabaja en una oficina responde unos mails que tenía atrasados después se va a una reunión para un nuevo producto de toallitas femeninas Después compra algunos lácteos y verduras y después se va a la casa Creo que se baña se va a hacer actividad física y después se alista para ir a un bar a tomar algo con una persona que conoció en Tinder
