Sujeto;Texto
L1NH;Despúes de una noche de sueño, JUANA SE DESPIERTA 7.30 EN SU DEPARTAMENTO DE CALLE CHARCAS. Toma su desayuno con mermelada de frutilla, se prepara para ir a trabajar. Se va al subte la estacion carranza del subte D par air a su trabajo en recoleta. LLega a su trabajo, se prepara cafe a las 8.30, revisa los mails y despues se va del trabajo a la tarde a tomar algo. Se va al supermercado, compra vegetales, lacteos y paga en efectivo. Despues se va a la casa , se quita la ropa, se pone ropa deportiva para ir a entrenar un poco, despues sale a entrenar a correr y hace siempr el mismo recorrido. Después vuelve y se prepara para ir a una cita que hizo en tinder, va a un bar y espera ahi a las 7.30 no recuerdo bien el horario. Despues va al lugar este a tomar algo, vuelve a media noche se acuesta a descansar
L1NH;Juana se despierta, 7.30 de la mañana en su dpto de calle Charcas, se levanta desayuna mermelada de futilla, sale para trabajar, se va a la estacion de subte se va a trabajar a recoleta, llega al trabajo 8.30, toma un cafe, revisa los mail en la compu. Despues cuando termina su hs de trabajo se va a la casa , no se va al super, despues se va a la casa, compra lacteos y verduras, despues se va a la casa, se va a correr y despues se prepara porque tiene una cita en un bar, se va a la cita del bar y despues se va a la casa y a la media noche se va a dormir.
L1NH;Federico luego de una noche de un largo sueño placentero sueño, se despierta 7.30 en su dpto de la calle Bacacay. Se levanta va al baño se cepilla los dientes, se peina, va al ropero, tiene dos camisas para elegir  una cuadros azules y otra a rayas, elige la de rayas, despues va a la cocina a preparar el desayuno y se prepara dos tostadas con queso crema y dulce de leche, despues sale a la calle y se va a la estacion de subte para ir a caballito, estacion de subte caballito. llega a su trabajo y a las 8 de la mañana sale de la casa cuando temrina el desayuno. Cuando llega al trabajo prende su computadora, se sirve un cafe, y bueno cuand termina su horario laboral se va, a la oficina queda en la calle saavedra en once, cuando se va de su trabajo se va a tomar el subte y se va a su casa, decide jugar a la play xq se habia descargado dos juegos la noche anterior uno de carrera y otro que no se. despues se aburre de jugar y se hace un te verde y se pone a leer un libro junto a la ventana
L1NH;Federico luego d una noche placentera de sueño se despierta 7.30 en su depto que no me acuerdo si era carapachay el nombre, se levanta, se va al baño cepilla los dientes, se peina. Se va al ropero, tenia dos camisas una a rayas y una a cuadros azules, elige la de rayas, se cambia se va tomar el desayuno, se hace un cafe con dos tostadas con queso crema y dulce de leche, a las 8 de la mña termina de desayunar y sale para ir a trabajar. Se va a la estacion caballito, se va al trabajo, llega, prende la computadora y trabaja. Termina de trabajar se vuelve a su casa a jugar con la play y despues a la noche se toma un te y lee un libro.
L2NH;Juana la imagen de su cuarto en su dpto de palermo, hay muchos almohadones en la cama grande, hay dos tazas en la mesa de luz, juana se levanta desayuna te en el balcon con dulce de frutillas. Se prepara para ir a su trabajo, toma el subte en la estacion carranza lleha a la oficina, en el subte viaja bastante gente. en la oficina hay un sillon d espera, una silla, un cuadro de la torre eiffel, y una compu, y unas plantas contra la pared como unos nichos. despues empieza a hacer su trabajo, tiene una reunion con la directora de arte grafico, pide la comida por delivery y come mientras descansa pero antes tuvo una reunion con sus compañeros por el lanzamiento de las toallitas femeninas lady soft, despues vuelve a su casa, pasa x el super compra lacteos y verduras. En el super se ve la gondola de los lacteos, despues llega a su casa se ve la mesa de la cocina con unas cajas de cereales sobre la mesa, una sillita de bebe, unos sillones, la mesa con sillas. Juana se cambia de ropa. se pone la ropa deportiva para salir a correr, hace el mismo recorrido de siempre, durante 40 min se pone musica divertida. despues lega a su casa y se prepara para una salida en un bar de san telmo en la calle tacuari, con M empezaba el nombre del bar, que se ve la fachada y unas mesas con gente afuera que esta sentada juana entra y se sienta para esperar a su cita . Para la medianoche llega a su casa y se acuesta y mira un libro, lee un libro de psicoanalista y despues de media hs se duerme.
L2NH;En el dpto de juana q se levanta a las 6 de la mañana una imagen de una habitacion que habia una cama, con unos almohadones, habia dos tazas en la mesa de luz, Juana se levanta para desayunar estaba en el balcon con una taza de te, que le gustaba el te con dulce de frutilla. Despues se iba para el trabajo que habia una reunion. en su oficina habia un cuadro de la torre eiffel, un escritorio con silla con lámpara computadora, habia un sillon negro tambien como de sala de espera. Tenia la reunion con su jefa su equipo de trabajo por una campaña para las toallitas femeninas lady soft. Tambien despues pedia comida por delivery y almorzaba en el trabajo y cuando ella volvia a su casa se cambiaba, se ponia ropa deportiva para hacer su rutina de que salia a correr por 40 min escuchando musica divertida. En el ambiente de su casa habia una mesa grande con sillas en la cocina, una silla para bebe. despues volvia para su casa, salia xq tenia una cita por una… no me acuerdo Y bueno se iba a un bar se iba a encontrar con su cita, ella se sentaba en la barra a esperarlo. era un bar que tenia sillas en la calle, habia gente que estaba sentada cuando ella se iba a correr se iba con los auriculares puestos, y volvia para su casa como a la medianoche y antes de dormir creo que leia un libro, en algun momento tambien veia sus redes sociales y sus contactos creo que cuando estaba en la oficina y depues de media hora de estar acostada se dormia.
L2NH;Federico que esta durmiendo se levanta 7.30 duerme en una cama llena de almohadas dice que tuvo un buen sueño. Se levanta abre su vestidor ve que tiene muchas camisas y elige entre una a cuadros y una rayada, elige la rayada, pero despues cuando va a la calle  se ve que cambio de opinion porque tiene una negra. Despues va al baño a higienizarse, el baño esta implecable tiene muchos adornos esta muy limpio hay unas toallas como color naranja, hay unas cosas verdes tipo hojas verdes y unos vasos verdes, todo super lindo. se prepara el desayuno va a la cocina que tambien esta impecable, desayuna dos tostadas con queso crema y dulce de leche . Despues se va para el trabajo, vive en la calle bacacay se va hacia la estacion del tren de caballito, camina 5 cuadras toma el tren para ir a su trabajo a la calle saavedra en once llega a la oficina que tambien esta impecable todo super ordenado, se prepara un cafe y hace unas llamadas y despues se despide de sus compañeros, hay alguien reparando un vidrio. Despues se va para su casa se pone a jugar  con la play 4 que se habia descargado dos juegos la noche anterior que los queria probar, uno de carrera y otro de aventuras, pero se aburre, y se prepara un te verde y se pone a leer junto a la ventana.
L2NH;Federico que se despierta 6.30 de la mañana esta durmiendo en una cama llena de almohadas rodeado de almohadas, se levanta va para la ducha esta todo impecable elige en su vestidor esta entre una camisa a cuadros o una camisa rayada, finalmente cuando sale de su casa  despues de desayunar no me acuerdo que con queso blanco y dulce de leche creo, sale tiene puesta una remera negra, camina 5 cuadras hasta la estacion caballito, no me acuerdo si la calle era Bacacay o Boyaca, llega a su trabajo hace llamados telefonicos despues cuando vuelve a su casa se pone a jugar a la play 4 se habia comprado dos juegos o descargado peor se aburrio, se sienta a leer, toma un te verde y despues de media hs se acuesta a dormir
L3NH;Juana vive en la calle charcas en el barrio de belgrano, se levanto a las 7.30 desayuno dos tostadas y una taza de cafe con leche, fue a la estacion maqinista carranza a su trabajo. en su trabajo cuando llego mails atrasados tomando una taza de cafe a las 8.30 despues tuvo la reunion de trabajo, al mediodia se encargo comida y durante su descanso almorzo, luego terminada la tarea del trabajo fue al super compro lo que necesitaba algunos lacteos, verdura. Fue a la casa los deposito los arrego, se cambio, se puso el traje de gimnasia, fue a hacer una hora de training siempre el mismo recorrido, luego volvio se cambio y fue a una cita que contrajo por tinder en un bar de la calle tacuari, se sento en la barra, a las 12.30 llego a su casa, leyo media hs y se durmio
L3NH;Juana se levanta 7.30 desayuna cafe con leche con dos tostadas, a las 8.30 esta presente en su oficina respondiendo mensajes atrasados en la ofcina toma una taza de cafe. Luego durante la mañana se reune con sus compañeros para la presentacion de la presentacion de la publicidad de las toallitas higienicas Luego almuerza con sus compañeros y a la tarde dspues del trabajo va al supermercado a comprar frutas y verduras, deja todo en la casa se cambia y va a hacer su caminata de footing x el barrio luego vuelve se arregla y va a una cita en la calle tacuari en un bar que una cita que consiguio por tinder. Doce y media se acuesta Omiti decir que ella vive en belgrano y tome el subte en la estacion carranza
