ASPL;;;;;
conditions;E1;E2;T1;T2;
conhigiene;2.887.201;2.959.792;3.021.104;3066790;
sinhigiene;3.021.921;3.006.717;3.194.564;3076658;
;;;;;
;diff;lwr;upr;p adj;d
sinhigiene:E1-conhigiene:E1;0.1347208492;0.10620525;0.16323645;2.573741e-11;0.488493861
conhigiene:E2-conhigiene:E1;0.0725909633;0.04407536;0.10110657;2.615885e-11;0.265122141
sinhigiene:E2-conhigiene:E1;0.1195166228;0.09100102;0.14803222;2.573741e-11;0.427725355
conhigiene:T1-conhigiene:E1;0.1339035450;0.10538794;0.16241915;2.573741e-11;0.470320195
sinhigiene:T1-conhigiene:E1;0.3073563575;0.27884076;0.33587196;2.573741e-11;0.975392236
conhigiene:T2-conhigiene:E1;0.1795892044;0.15107360;0.20810481;2.573741e-11;0.613833153
sinhigiene:T2-conhigiene:E1;0.1894501655;0.16093456;0.21796577;2.573741e-11;0.624875725
conhigiene:E2-sinhigiene:E1;-0.0621298859;-0.09064549;-0.03361428;1.205751e-09;0.212632244
sinhigiene:E2-sinhigiene:E1;-0.0152042264;-0.04371983;0.01331138;7.404972e-01;0.051092576
conhigiene:T1-sinhigiene:E1;-0.0008173042;-0.02933291;0.02769830;1.000000e+00;0.002902696
sinhigiene:T1-sinhigiene:E1;0.1726355083;0.14411991;0.20115111;2.573741e-11;0.515525129
conhigiene:T2-sinhigiene:E1;0.0448683552;0.01635275;0.07338396;5.113525e-05;0.144083357
sinhigiene:T2-sinhigiene:E1;0.0547293163;0.02621371;0.08324492;1.719469e-07;0.161916513
sinhigiene:E2-conhigiene:E2;0.0469256595;0.01841006;0.07544126;1.705987e-05;0.158744839
conhigiene:T1-conhigiene:E2;0.0613125817;0.03279698;0.08982818;2.132435e-09;0.203834277
sinhigiene:T1-conhigiene:E2;0.2347653942;0.20624979;0.26328100;2.573741e-11;0.708855596
conhigiene:T2-conhigiene:E2;0.1069982411;0.07848264;0.13551384;2.574074e-11;0.346876353
sinhigiene:T2-conhigiene:E2;0.1168592022;0.08834360;0.14537480;2.573741e-11;0.361800889
conhigiene:T1-sinhigiene:E2;0.0143869222;-0.01412868;0.04290252;7.915656e-01;0.046857299
sinhigiene:T1-sinhigiene:E2;0.1878397348;0.15932413;0.21635534;2.573741e-11;0.556713664
conhigiene:T2-sinhigiene:E2;0.0600725816;0.03155698;0.08858818;5.031281e-09;0.191198430
sinhigiene:T2-sinhigiene:E2;0.0699335427;0.04141794;0.09844914;2.901768e-11;0.208198588
sinhigiene:T1-conhigiene:T1;0.1734528125;0.14493721;0.20196841;2.573741e-11;0.506718542
conhigiene:T2-conhigiene:T1;0.0456856594;0.01717006;0.07420126;3.325417e-05;0.143283444
sinhigiene:T2-conhigiene:T1;0.0555466205;0.02703102;0.08406222;1.021729e-07;0.160748923
conhigiene:T2-sinhigiene:T1;-0.1277671531;-0.15628275;-0.09925155;2.573741e-11;0.364033215
sinhigiene:T2-sinhigiene:T1;-0.1179061920;-0.14642179;-0.08939059;2.573741e-11;0.341532174
sinhigiene:T2-conhigiene:T2;0.0098609611;-0.01865464;0.03837656;9.668981e-01;0.019062692
;;;;;
;;;;;
CC;;;;;
conditions;E1;E2;T1;T2;
conhigiene;0.7147524;0.7089052;0.7040088;0.7019968;
sinhigiene;0.7063683;0.7098865;0.6961206;0.6998605;
;;;;;
;diff;lwr;upr;p adj;d
sinhigiene:E1-conhigiene:E1;-0.0083840845;-0.0097530624;-0.0070151066;2.573741e-11;0.81903570
conhigiene:E2-conhigiene:E1;-0.0058472091;-0.0072161870;-0.0044782312;2.573741e-11;0.57162969
sinhigiene:E2-conhigiene:E1;-0.0048659043;-0.0062348822;-0.0034969264;2.581468e-11;0.47686298
conhigiene:T1-conhigiene:E1;-0.0107435626;-0.0121125405;-0.0093745847;2.573741e-11;1.02007601
sinhigiene:T1-conhigiene:E1;-0.0186312796;-0.0200002575;-0.0172623017;2.573741e-11;1.82014648
conhigiene:T2-conhigiene:E1;-0.0127555532;-0.0141245311;-0.0113865753;2.573741e-11;1.25657812
sinhigiene:T2-conhigiene:E1;-0.0148913499;-0.0162603278;-0.0135223720;2.573741e-11;1.35621387
conhigiene:E2-sinhigiene:E1;0.0025368753;0.0011678974;0.0039058532;5.559568e-07;0.24656460
sinhigiene:E2-sinhigiene:E1;0.0035181801;0.0021492022;0.0048871580;2.600942e-11;0.34274098
conhigiene:T1-sinhigiene:E1;-0.0023594781;-0.0037284560;-0.0009905002;4.938622e-06;0.22272022
sinhigiene:T1-sinhigiene:E1;-0.0102471951;-0.0116161730;-0.0088782172;2.573741e-11;0.99311486
conhigiene:T2-sinhigiene:E1;-0.0043714688;-0.0057404467;-0.0030024909;2.581457e-11;0.42783920
sinhigiene:T2-sinhigiene:E1;-0.0065072655;-0.0078762434;-0.0051382876;2.573741e-11;0.58709567
sinhigiene:E2-conhigiene:E2;0.0009813048;-0.0003876731;0.0023502827;3.681975e-01;0.09565694
conhigiene:T1-conhigiene:E2;-0.0048963534;-0.0062653313;-0.0035273755;2.581180e-11;0.46260899
sinhigiene:T1-conhigiene:E2;-0.0127840705;-0.0141530484;-0.0114150926;2.573741e-11;1.24104849
conhigiene:T2-conhigiene:E2;-0.0069083441;-0.0082773220;-0.0055393662;2.573741e-11;0.67685256
sinhigiene:T2-conhigiene:E2;-0.0090441408;-0.0104131187;-0.0076751629;2.573741e-11;0.81825117
conhigiene:T1-sinhigiene:E2;-0.0058776582;-0.0072466361;-0.0045086803;2.573741e-11;0.55658136
sinhigiene:T1-sinhigiene:E2;-0.0137653753;-0.0151343532;-0.0123963974;2.573741e-11;1.33986753
conhigiene:T2-sinhigiene:E2;-0.0078896489;-0.0092586268;-0.0065206710;2.573741e-11;0.77491628
sinhigiene:T2-sinhigiene:E2;-0.0100254456;-0.0113944235;-0.0086564677;2.573741e-11;0.90940502
sinhigiene:T1-conhigiene:T1;-0.0078877170;-0.0092566949;-0.0065187391;2.573741e-11;0.74225018
conhigiene:T2-conhigiene:T1;-0.0020119907;-0.0033809686;-0.0006430128;2.275557e-04;0.19127447
sinhigiene:T2-conhigiene:T1;-0.0041477874;-0.0055167653;-0.0027788095;2.582901e-11;0.36360654
conhigiene:T2-sinhigiene:T1;0.0058757264;0.0045067485;0.0072447043;2.573741e-11;0.57276017
sinhigiene:T2-sinhigiene:T1;0.0037399297;0.0023709518;0.0051089076;2.582956e-11;0.34091125
sinhigiene:T2-conhigiene:T2;-0.0021357967;-0.0035047746;-0.0007668188;6.229813e-05;0.19146615
;;;;;
;;;;;
Q;;;;;
conditions;E1;E2;T1;T2;
conhigiene;0.5438354;0.5551277;0.5573380;0.5674680;
sinhigiene;0.5594590;0.5534926;0.5714567;0.5656262;
;;;;;
;diff;lwr;upr;p adj;d
sinhigiene:E1-conhigiene:E1;0.015623624;0.0128643297;0.0183829191;2.573741e-11;0.42733564
conhigiene:E2-conhigiene:E1;0.011292302;0.0085330073;0.0140515967;2.573741e-11;0.30303322
sinhigiene:E2-conhigiene:E1;0.009657222;0.0068979275;0.0124165168;2.581424e-11;0.25956395
conhigiene:T1-conhigiene:E1;0.013502560;0.0107432651;0.0162618545;2.573741e-11;0.36026502
sinhigiene:T1-conhigiene:E1;0.027620606;0.0248613116;0.0303799010;2.573741e-11;0.74842668
conhigiene:T2-conhigiene:E1;0.023632500;0.0208732056;0.0263917950;2.573741e-11;0.65050075
sinhigiene:T2-conhigiene:E1;0.021790157;0.0190308619;0.0245494513;2.573741e-11;0.57108636
conhigiene:E2-sinhigiene:E1;-0.004331322;-0.0070906171;-0.0015720277;5.406269e-05;0.11899643
sinhigiene:E2-sinhigiene:E1;-0.005966402;-0.0087256969;-0.0032071075;1.674946e-09;0.16410673
conhigiene:T1-sinhigiene:E1;-0.002121065;-0.0048803593;0.0006382301;2.769770e-01;0.05814795
sinhigiene:T1-sinhigiene:E1;0.011996982;0.0092376872;0.0147562766;2.573741e-11;0.32522101
conhigiene:T2-sinhigiene:E1;0.008008876;0.0052495812;0.0107681706;2.579903e-11;0.22518427
sinhigiene:T2-sinhigiene:E1;0.006166532;0.0034072376;0.0089258269;3.979506e-10;0.15521356
sinhigiene:E2-conhigiene:E2;-0.001635080;-0.0043943745;0.0011242148;6.225195e-01;0.04407929
conhigiene:T1-conhigiene:E2;0.002210258;-0.0005490369;0.0049695525;2.275744e-01;0.05906455
sinhigiene:T1-conhigiene:E2;0.016328304;0.0135690096;0.0190875990;2.573741e-11;0.43875592
conhigiene:T2-conhigiene:E2;0.012340198;0.0095809036;0.0150994930;2.573741e-11;0.34063903
sinhigiene:T2-conhigiene:E2;0.010497855;0.0077385599;0.0132571493;2.573752e-11;0.26905094
conhigiene:T1-sinhigiene:E2;0.003845338;0.0010860429;0.0066046323;6.368599e-04;0.10299297
sinhigiene:T1-sinhigiene:E2;0.017963384;0.0152040894;0.0207226788;2.573741e-11;0.48475195
conhigiene:T2-sinhigiene:E2;0.013975278;0.0112159834;0.0167345728;2.573741e-11;0.38645183
sinhigiene:T2-sinhigiene:E2;0.012132934;0.0093736398;0.0148922291;2.573741e-11;0.31352941
sinhigiene:T1-conhigiene:T1;0.014118047;0.0113587518;0.0168773412;2.573741e-11;0.37557788
conhigiene:T2-conhigiene:T1;0.010129941;0.0073706458;0.0128892352;2.576916e-11;0.27805828
sinhigiene:T2-conhigiene:T1;0.008287597;0.0055283022;0.0110468915;2.582501e-11;0.20854043
conhigiene:T2-sinhigiene:T1;-0.003988106;-0.0067474007;-0.0012288113;3.183151e-04;0.10071693
sinhigiene:T2-sinhigiene:T1;-0.005830450;-0.0085897444;-0.0030711550;4.440347e-09;0.16222546
sinhigiene:T2-conhigiene:T2;-0.001842344;-0.0046016384;0.0009169510;4.653590e-01;0.06428327
